0				    
3155				    54.2
3159				    55.6
3165				    57.3
3169				    57.4
3174				    56.7
3179				    55.2
3185				    54.6
3196				    53.2
3208				    52.8
3218				    53.6
3229				    50.8
3240				    56.1
3252				    55.7
3260				    55.4
3268				    53.9
3274				    53.3
3279				    54.3
3292				    54.8
3298				    54.8
3303				    54.6
3307				    54.6
3310				    53.9
3314				    52.1
3318				    51.1
3322				    52.7
3326				    53.0
3329				    53.2
3333				    54.3
3338				    54.7
3341				    54.7
3345				    54.8
3348				    54.6
3352				    53.5
3356				    53.4
3360				    53.0
3364				    52.0
3368				    51.6
3371				    51.6
3375				    52.2
3379				    54.4
3382				    54.5
3386				    54.5
3390				    54.0
3394				    52.9
3397				    52.4
3401				    52.0
3405				    52.0
3409				    51.8
3413				    52.1
3417				    52.1
3420				    51.9
3424				    51.9
3429				    51.9
3433				    51.9
3437				    50.1
3441				    50.1
3445				    50.1
3449				    49.8
3453				    49.8
3457				    49.8
3461				    49.8
3465				    49.8
3469				    49.8
3473				    49.8
3477				    49.8
3481				    48.8
3485				    45.7
3488				    43.2
3492				    45.0
3496				    45.2
3500				    45.7
3504				    45.8
3508				    46.8
3513				    48.4
3520				    49.8
3525				    51.0
3530				    51.1
3536				    51.1
3541				    50.9
3546				    50.4
3551				    50.4
3555				    49.8
3559				    50.4
3564				    50.6
3568				    50.2
3572				    50.2
3576				    48.6
3581				    48.6
3585				    50.2
3590				    50.8
3594				    51.4
3598				    51.5
3602				    51.1
3606				    51.1
3610				    53.8
3615				    57.5
3619				    58.1
3622				    58.0
3627				    59.1
3631				    59.1
3635				    58.9
3639				    58.5
3643				    56.1
3648				    56.1
3652				    55.4
3656				    55.4
3660				    54.3
3665				    52.4
3669				    51.7
3673				    51.9
3677				    52.3
3682				    52.3
3686				    52.4
3690				    52.5
3694				    53.4
3698				    54.6
3701				    54.6
3706				    53.7
3710				    53.0
3714				    53.0
3718				    53.0
3722				    52.2
3726				    53.2
3730				    53.5
3734				    53.1
3739				    52.5
3743				    53.4
3746				    54.0
3750				    54.1
3754				    53.6
3757				    53.6
3762				    53.9
3766				    55.1
3770				    55.2
3774				    54.4
3778				    54.4
3782				    54.4
3785				    55.3
3789				    55.1
3793				    54.8
3798				    54.8
3802				    54.5
3806				    54.3
3810				    54.0
3815				    53.7
3819				    53.2
3823				    52.7
3827				    52.3
3831				    52.3
3836				    51.2
3840				    51.4
3844				    51.4
3848				    51.3
3853				    50.6
3856				    50.6
3860				    50.3
3865				    52.0
3869				    52.2
3873				    53.2
3877				    53.2
3881				    53.5
3885				    54.5
3890				    54.6
3894				    53.7
3898				    53.4
3902				    53.4
3906				    51.6
3910				    51.4
3914				    52.9
3918				    52.8
3922				    52.8
3926				    52.8
3930				    52.8
3934				    52.8
3937				    52.6
3941				    52.6
3945				    51.6
3949				    51.7
3953				    51.7
3956				    51.7
3960				    51.8
3963				    53.6
3967				    54.3
3971				    54.2
3975				    53.2
3980				    52.8
3992				    51.9
4003				    54.8
4014				    54.6
4025				    54.4
4036				    54.4
4047				    52.6
4058				    54.2
4069				    54.8
4080				    53.7
4091				    53.9
4097				    56.4
4103				    56.2
4109				    55.8
4115				    54.0
4126				    54.8
4137				    54.4
4148				    53.4
4159				    53.3
4170				    53.0
4182				    53.6
4192				    53.6
4198				    54.9
4205				    54.6
4213				    55.3
4220				    55.0
4226				    54.8
4232				    55.0
4238				    57.2
4245				    57.7
4255				    55.7
4263				    55.0
4269				    55.0
4275				    55.6
4281				    55.4
4286				    58.4
4292				    59.9
4297				    60.1
4301				    58.7
4306				    56.8
4310				    56.2
4314				    56.0
4318				    55.5
4322				    55.5
4326				    55.5
4330				    54.0
4334				    53.6
4338				    53.0
4342				    53.2
4346				    53.3
4350				    53.7
4354				    53.4
4359				    53.0
4363				    52.9
4367				    52.9
4371				    52.9
4375				    52.9
4379				    52.9
4383				    52.9
