0				    
3627				    11.8
3631				    11.8
3636				    11.8
3640				    12.1
3644				    12.1
3649				    12.4
3653				    12.4
3657				    12.4
3661				    12.4
3665				    12.9
3670				    12.9
3674				    12.9
3678				    12.7
3682				    12.7
3687				    12.7
3691				    12.7
3695				    12.7
3700				    12.7
3703				    12.7
3708				    12.4
3712				    12.5
3716				    12.5
3720				    12.7
3724				    12.7
3728				    12.7
3732				    12.7
3736				    12.6
3740				    12.6
3744				    12.6
3748				    12.6
3751				    12.1
3755				    12.1
3759				    12.1
3763				    12.1
3767				    13.0
3771				    13.0
3776				    13.0
3780				    13.0
3784				    12.6
3787				    12.6
3791				    12.6
3795				    12.6
3799				    12.6
3803				    12.6
3807				    12.0
3811				    12.3
3815				    12.3
3819				    12.3
3823				    12.5
3827				    12.6
3831				    12.6
3835				    12.6
3840				    12.4
3843				    11.9
3848				    11.9
3851				    11.9
3855				    11.9
3859				    12.1
3864				    12.1
3868				    12.1
3873				    12.1
3876				    12.0
3880				    12.0
3884				    12.0
3888				    12.0
3892				    11.8
3896				    11.8
3900				    11.8
3904				    11.8
3908				    11.7
3912				    11.7
3916				    11.9
3920				    11.9
3924				    12.3
3928				    12.3
3932				    12.3
3936				    12.3
3940				    12.3
3944				    12.3
3948				    11.6
3952				    11.6
3956				    11.6
3960				    11.6
3963				    12.0
3967				    12.0
3971				    12.0
3975				    12.0
3979				    12.7
3983				    12.7
3987				    12.7
3991				    12.7
3994				    12.6
3998				    12.6
4002				    12.6
4006				    12.6
4010				    12.3
4014				    12.3
4018				    12.2
4022				    12.2
4026				    12.4
4031				    12.4
4035				    12.4
4039				    13.3
4043				    13.3
4048				    13.3
4052				    13.3
4056				    13.3
4060				    13.3
4064				    13.2
4068				    13.2
4073				    12.7
4077				    12.7
4081				    12.7
4086				    12.6
4090				    12.6
4094				    11.9
4098				    11.9
4102				    11.8
4106				    11.8
4110				    11.8
4114				    11.8
4118				    11.8
4123				    11.8
4127				    11.8
4131				    11.8
4135				    11.0
4139				    10.8
4143				    11.3
4147				    11.8
4151				    11.8
4155				    11.8
4159				    11.8
4163				    11.8
4166				    11.8
4170				    11.8
4174				    11.6
4177				    11.6
4182				    11.4
4186				    11.4
4190				    12.3
4194				    12.3
4198				    12.3
4202				    12.3
4205				    12.5
4209				    12.5
4213				    12.5
4217				    12.5
4221				    12.4
4225				    12.4
4229				    12.4
4233				    12.4
4237				    12.4
4241				    12.2
4247				    12.2
4251				    12.2
4255				    12.2
4259				    12.6
4263				    12.6
4267				    12.6
4271				    12.6
4276				    12.6
4280				    12.6
4284				    11.9
4288				    11.9
4293				    12.6
4296				    12.6
4301				    12.6
4304				    12.6
4309				    12.6
4313				    12.6
4317				    12.1
4322				    12.1
4326				    12.0
4330				    12.0
4334				    11.5
4339				    11.5
4342				    11.5
4346				    11.5
4350				    11.6
4355				    11.6
4358				    11.6
4362				    12.0
4366				    12.0
4370				    12.0
4374				    12.0
4378				    12.0
4382				    12.0
4387				    12.0
4391				    12.0
4396				    11.7
4400				    11.7
4404				    11.4
4408				    11.4
4413				    11.5
4417				    11.6
4421				    11.6
4425				    11.5
4430				    11.5
4434				    11.3
4438				    11.3
4443				    11.6
4447				    11.6
4451				    11.8
4456				    12.0
4460				    12.0
4464				    11.9
4469				    11.9
4473				    11.7
4477				    11.7
4481				    11.5
4485				    11.5
4490				    11.1
4494				    11.0
4499				    11.0
4503				    11.0
4507				    11.0
4511				    11.0
4516				    11.0
4520				    11.5
4524				    11.5
4529				    11.5
4533				    11.7
4537				    12.0
4541				    12.0
4545				    12.1
4549				    12.1
4554				    12.1
4558				    12.1
4562				    12.0
4567				    11.7
4571				    11.7
4575				    11.6
4580				    11.6
4584				    11.7
4589				    11.7
4593				    11.7
4597				    11.5
4601				    11.5
4605				    11.5
4609				    11.5
4613				    11.8
4617				    11.8
4621				    11.8
4626				    11.8
4630				    12.0
4634				    12.0
4638				    12.0
4643				    12.1
4648				    12.1
4652				    12.1
4656				    12.1
4660				    11.7
4665				    11.7
4668				    11.7
4672				    11.7
4677				    11.6
4681				    11.7
4685				    11.7
4689				    11.7
4693				    11.7
4697				    11.8
4702				    11.8
4706				    11.8
4710				    11.8
4715				    11.8
4719				    11.8
4723				    11.8
4728				    11.3
4732				    11.3
4736				    11.3
4740				    11.3
4744				    11.3
4748				    11.3
4752				    11.3
4756				    11.2
4760				    11.2
4764				    11.3
4768				    11.3
4772				    11.4
4777				    11.4
4781				    11.5
4785				    11.5
4790				    11.5
4794				    11.5
4798				    11.5
4802				    11.4
4807				    11.4
4811				    11.4
4815				    11.4
4819				    11.4
4822				    11.4
4826				    11.2
4830				    11.2
4834				    11.1
4838				    11.1
4841				    11.1
4845				    11.1
4849				    11.5
4853				    11.5
4857				    11.6
4862				    11.7
4866				    11.7
4870				    11.7
4874				    11.7
4878				    11.7
4883				    11.7
4887				    11.2
4891				    11.0
4896				    11.0
4900				    11.0
4904				    11.0
4908				    11.0
4912				    11.0
4917				    10.9
4920				    10.9
4924				    11.2
4928				    11.2
4932				    11.2
4937				    11.2
4941				    11.2
4945				    11.0
4949				    11.0
4954				    11.3
4958				    11.3
4962				    11.3
4966				    11.4
4970				    11.4
4974				    11.3
4978				    11.3
4982				    11.7
4986				    11.7
4990				    11.8
4994				    11.8
4998				    12.1
5003				    12.1
5007				    12.1
5011				    12.1
5016				    12.1
5020				    12.1
5024				    12.1
5028				    11.9
5032				    12.2
5036				    12.2
5040				    12.2
5045				    12.2
5049				    12.2
5054				    12.2
5058				    12.2
5062				    12.2
5067				    12.1
5071				    12.1
5075				    12.3
5079				    12.3
5084				    12.3
5088				    12.3
5092				    12.3
5096				    12.3
5100				    12.3
5104				    12.3
5108				    12.3
5112				    11.3
5116				    11.3
5121				    11.0
5125				    11.0
